Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Germany,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.001390232,0.0305977729,0.062516414,0.1261982899,0.2080677101,0.344646737,0.668221323,1.2105802992,2.1925900363,3.0560084316,4.5465951611,6.7055689422,10.052714926,16.8948647249,28.4740831618,58.5337820689,68.127094575,71.7294028416,78.560584838,86.4254078339,96.0386361455,103.7751487718,116.6229320736,127.9450964156,127.4188883212,127.0435824735,132.298778791
Ghana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002554956,0.0108161795,0.0201511883,0.0364772378,0.0732448615,0.122462581,0.2283941902,0.3741569367,0.6785373085,1.2418179971,1.9228798767,3.8597495296,8.0256020018,13.2836680699,23.4871962616,33.4797379212,49.7349658978,63.41781842,71.4868626261,84.7792958179
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4587026646,1.4469270013,2.5581417359,4.9467016147,8.6624404821,18.8063800943,35.6933487858,53.9953233324,72.1850695157,84.1143236536,80.4261010999,83.6468707425,91.7490065826,97.8655174565,109.2325970882,122.206658332,117.3794227321,108.2167582535,106.4789463699
Greenland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3068090069,0.7865249246,1.7328467941,3.6895193916,7.4060765043,11.6267805246,15.9289025722,24.1351611867,26.8951526799,28.1620711056,35.1902221908,52.3344592217,68.4297259866,81.2729498164,94.0991620112,115.8489775979,97.3812306994,93.3058774257,100.0925020944,102.5237363865
Grenada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1559251559,0.1525402623,0.1863808141,0.2871339551,0.3524211332,0.399349061,0.5659983914,0.9659636378,1.3930190972,1.9851214555,4.2355351549,6.3048628245,7.4082429331,41.3846078575,42.2751451857,45.6109953861,44.8314683075,49.7068725331,57.8675896378,109.9205548671,116.7092556969,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6350810882,0.936099179,1.3495725528,2.8559083433,3.4109879843,3.9347441365,3.8002666149,8.4976665674,13.0730062031,17.5317602016,20.6858042082,43.9822324258,48.9207398189,59.0653214238,,,,,,,
Guatemala,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032836008,0.0133719005,0.0229103287,0.0312612035,0.1068828816,0.2995205016,0.4237671485,0.6124496316,1.0392931035,3.0780967266,7.625018232,9.9581095104,13.3647295746,16.8183098573,25.5406390642,35.4644364612,55.0732479503,89.0613348073,109.1871167056,123.3285160931,125.5685534344,140.3756414784
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000611218,0.0112006829,0.012557442,0.0121705387,0.0359301467,0.265844083,0.3061217791,0.5046685919,0.6570794677,1.0548829184,1.2751668181,1.7425402908,2.0903731349,,21.3364763385,28.7683686034,35.7434938697,40.0737758213,44.0235230402
Guinea-Bissau,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969732924,2.9423171297,7.2256606919,11.2741599379,20.7993871609,34.4043743212,37.7560439857,,25.9769976749
Guyana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1162220241,0.1419488515,0.1721831335,0.1707466836,0.1646113115,0.1918483631,0.1990531968,0.3848278049,5.4330849365,10.2430619303,10.7586472288,18.6192934508,23.080015543,37.7050124961,53.4529967754,71.8300207448,59.5771829404,68.1970961989,73.6119486861,68.6150203693
Haiti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1198719815,0.2942783577,0.6361785978,1.040727003,1.5668276619,3.5260157708,4.3418635756,5.351299664,12.6593816145,26.0187566094,32.8665867187,36.9820648137,40.0270302535,41.4864516608
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404969329,0.2472236393,0.5852080024,1.2904085998,2.4970606214,3.7437973353,5.0406289439,5.7397890288,10.487729137,18.6279507789,31.9297486138,58.4570443812,85.0462880929,112.628747975,125.0581012572,103.9658854058
"Hong Kong, China",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.0186904953,0.0812613235,0.182255562,0.5042747438,0.9084982142,1.5587766977,2.3112755458,3.2382072395,3.9452063318,4.868680565,8.0162214965,12.9936839186,21.726220721,34.764953324,48.3613148361,63.8768939473,80.3050484004,84.5873599274,93.5489820772,107.7242891001,120.6559669036,125.4688973736,138.213891461,156.4377442607,167.1893407916,180.2692367575,195.5672675154,209.6399322287
Hungary,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254907327,0.0818177615,0.2249848952,0.4417350741,1.3826541875,2.5649952867,4.5869722812,6.8580560242,10.4252886172,15.9039355807,30.1284505381,48.7736314888,67.7815331865,78.391393844,86.3189788963,92.3967397037,99.0207540057,109.831724383,121.9746762236,117.8982582614,120.315005191,117.2968185399
Iceland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1.082236896,2.0288692538,2.6125534012,3.1299196206,3.9286793593,5.008179236,5.8684551776,6.6348814342,8.24622795,11.5459963062,17.3275482287,23.9587151256,37.8363472758,62.0014870529,76.4183350521,87.3725316206,90.8136116855,96.5298007759,98.9979658981,95.4051148637,100.3029799674,106.6652274459,108.4515202822,107.6604456445,106.541282455,106.0792438172
India,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079503474,0.0333790559,0.0881347081,0.1173720051,0.1818378973,0.3394156395,0.6104309409,1.1940911812,3.0464269802,4.6500809955,7.9067202581,14.3512937904,19.8999698314,29.1292787006,43.4770581925,61.4226032977,71.9990549113
Indonesia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.0010624933,0.0012068817,0.0026424086,0.0036168077,0.0050604808,0.0071347414,0.0098163269,0.0130849637,0.0186580991,0.0276128774,0.0397092051,0.1056382357,0.2781198631,0.4467753369,0.5128096884,1.0545372094,1.7194966765,3.0161153867,5.3418226614,8.3372316894,13.5065560493,20.6376228577,27.7502688811,40.1730102294,59.8329655363,68.9414355261,88.0849667086,97.7195376248
Iran,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156439558,0.0266110576,0.0986044949,0.3856657003,0.6177019979,0.7630537002,1.4731570822,3.1477019486,3.3909334301,5.0687482879,7.3674454635,12.2046006793,21.7977249921,41.6739587929,59.4832227639,71.8581479278,73.0689625479,74.925208158
Iraq,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792610744,0.3087017386,2.1563931252,5.6031805597,33.2090946736,48.4148850467,58.7804569216,65.4747883895,73.4551289198,78.1235123577
Ireland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.0084887169,0.042390616,0.098240325,0.1783095743,0.3846537352,0.7079708169,0.9045614206,1.2396803653,1.7134274382,2.4535190573,4.3755701396,7.931933784,14.8507027516,25.5214427331,44.7087333992,64.6987996151,76.827167328,76.2237533033,87.2707832877,94.4764097789,102.692565395,110.9716053367,115.8336086994,115.9724880113,106.6252041791,105.1807422985,108.4084544574
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.3386705049,0.4954415073,0.7509771502,1.2932592242,2.5835802991,8.3542648187,19.0928585723,29.7017556167,37.2412345634,48.8768009319,73.1510287778,89.713589895,100.9358988963,104.1916964232,111.6008595576,117.4489429444,124.4054344964,128.6382352372,126.6439604282,124.2537304697,122.8162406988,121.657815179
Italy,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.0112995562,0.0159200368,0.0290971672,0.0591450549,0.1162696733,0.4680434534,0.9990140189,1.3762156264,2.1201748864,3.9322254955,6.8863174314,11.278867235,20.6332479614,36.0394924871,53.268931425,74.1335698251,89.5921323681,94.2627269508,98.1087969701,107.6998400138,121.8655706515,136.1122912016,150.9381178593,150.8411572204,146.1011892481,149.6263107661,151.8374452986
Jamaica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1027958194,0.3180653885,0.6294663535,1.0702088313,1.833747983,2.1990830178,2.6304702481,3.1033135324,5.6445594474,14.2138664915,22.9551579855,47.4101740768,59.5691518889,68.9539595714,73.8896494065,84.3608395696,99.0878325253,100.1117898806,108.2499320705,116.0866338909,108.1214041645
Japan,0,,,,,0,,,,,0,0,0,0,0,0,0.0113632514,0.0168242353,0.0229414076,0.0338515714,0.0515040572,0.0789120095,0.1245815082,0.2000153548,0.4018273418,0.7100773764,1.1231247884,1.3903060843,1.7236621992,3.4902909402,9.4083406985,21.5571157457,30.580711949,37.747743145,45.2838850107,53.1213882626,59.4304589995,64.3549191268,68.6734432864,72.4263059526,76.3365397992,78.935805602,84.8425780857,87.2379865319,91.8955441967,97.4325116536,102.6650201802
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421306331,0.0406183434,0.0384125779,0.0362253576,0.0342935528,0.2701959491,0.5346465984,0.9776376539,1.7605442781,2.4922019379,8.0576189079,17.6296767287,24.3998846024,26.0028959404,31.1707289829,58.7364063136,79.0356238093,84.1938948482,90.8464285568,99.8136946544,106.9946197222,118.2047588303
Kazakhstan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024813716,0.0288838532,0.0623578206,0.0723424421,0.1945603163,0.3281977132,1.3191417836,3.9066522232,6.8918454705,8.8958058361,16.255364536,35.5791548863,50.7808770878,79.6239464314,95.2426982606,107.7147692306,121.0667395798,142.5498634828
Kenya,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043925625,0.0044957843,0.0074691605,0.008309718,0.0100242636,0.0233789996,0.0362198663,0.0779885756,0.4076445218,1.8705465793,3.6052201868,4.7057264776,7.3371681361,12.9496698206,20.0879216379,30.2770108538,42.3960363661,49.0711741579,61.6322834415,64.8424594364
Kiribati,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027132022,0.2423537395,0.3571003452,0.4617182934,0.5680057833,0.5925024781,0.6803247859,0.7066139062,0.7483909594,0.7891165052,1.0359259106,10.1063992573,10.6433206759,13.638926533
North Korea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857516648,1.7740694052,4.0897646075
South Korea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,0.0172645442,0.0246548021,0.0483560488,0.093339828,0.1861431377,0.3829795927,0.6218418903,1.0708430751,2.1644094485,3.6749087477,7.0767861989,15.2092068379,30.8133720064,51.2420423404,58.31220591,62.8548967407,69.6723156851,72.0469178262,78.1240783957,81.5028915618,85.0413431082,93.4100269983,95.5441212063,99.9589253781,105.3621104648,108.5045170166
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.4466671279,0.7381346151,0.8628485045,1.0798876917,0.9932044411,2.1171794836,2.6506215708,3.5808384967,5.0484370259,7.2245350022,9.2783701447,12.5088455408,14.1748025308,16.1532012683,24.5261455926,43.6865665997,59.2806317083,66.7674133646,91.3456817471,100.5735830255,107.5935989889,113.3126727559,114.0737677031,146.4694292302,160.7756988993,
Kyrgyz Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279858288,0.0525427829,0.1816402111,0.5413051951,1.0611089112,2.760970284,5.2482222301,10.7419887549,24.8195417375,42.1918492189,65.2180663569,85.1302075132,98.8986962112,104.82922831
Lao,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065395292,0.0074606953,0.0133604647,0.0320951836,0.0772214932,0.0979751926,0.126014359,0.231338538,0.2384964623,0.5462281509,1.0035111976,2.0113657617,3.6031236683,11.4286290349,17.2824198692,24.9251903223,33.5790877484,52.921569407,64.5615777338,87.163148054
Latvia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393076646,0.1477960881,0.3307375994,0.6020235986,1.1573054194,3.1611393878,6.9203523073,11.4193332479,16.8250193294,27.7461430776,39.0239709999,52.2464629588,66.2596061019,81.1788883067,95.2298218989,97.1650436759,101.2069401259,101.8670015654,102.3995808282,102.935971062
Lebanon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4652295975,5.5945842164,10.3937620749,13.8659793956,16.9917179602,19.8539465664,20.1623338802,20.0362724195,20.212831105,22.1219536963,24.5176215693,27.0028703169,30.4725273237,34.2459589408,56.9531259307,68.0000009462,78.6494827329
Lesotho,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689910793,0.1876456264,0.5171592068,0.6203675988,1.0998646555,2.8657861832,6.8624422401,6.2075648012,9.5853651626,12.0917709386,17.1614735795,21.6511057258,27.8843966284,30.7556156916,45.4768946787,47.906800988
Liberia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526816727,0.0680435043,0.166884618,1.5556006232,3.0513583346,5.0274324996,8.4497232414,16.1912022816,23.3602936755,28.2868113565,39.3405108807,49.1677509802
Libya,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2019762977,0.3967283401,0.5843028216,0.7646445196,0.9378556231,1.2881160438,2.2919794076,8.8451787673,34.6637932693,66.6395757667,74.7129404307,119.9930239592,152.2369144008,171.5154666039,155.6960141198
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,23.3717669056,27.7178934401,30.4386205217,33.0936550438,33.9082852555,73.5164382756,74.2034046268,79.2685035739,82.1688812688,90.7758180684,95.7180259565,97.8418875098,98.5235346359,101.8345085941
Lithuania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072358841,0.0338087427,0.1235339245,0.4076763851,1.414327905,4.6220599319,7.5388414498,9.4218289019,14.971308801,29.2560226369,47.526774765,60.9835604278,88.9017091776,127.4522300825,138.8569982298,145.3688810708,149.4922166475,148.4991007445,147.158587452,151.2979212881
Luxembourg,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.0109076233,0.0792472596,0.1011310497,0.1450233188,0.176290633,0.216145321,0.2952651294,0.2866077415,1.2827535028,3.2092761645,6.5856567253,10.8859467266,16.0265169129,30.6902844672,48.5754092651,69.639556271,93.0729518622,106.8004570066,120.7599587758,104.2387466511,111.5492883812,153.140343567,143.8889753087,145.2398511856,144.6837755231,143.2659109899,148.2675344662
"Macao, China",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3891597765,0.6205015721,1.3117975171,2.782055964,3.9291991287,5.4719754227,9.0056873798,11.0640105927,12.8561002311,19.6710865165,27.8348401573,32.6609812743,44.1722598889,61.4360850064,79.2308730325,91.9857825651,110.6707659071,129.0066029149,157.0711614782,179.8770596937,195.2917478515,206.4285136189,243.4980233242
"Macedonia, FYR",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536162324,0.6234007768,1.510085304,2.435215658,5.761212409,11.0747368029,18.0662676072,38.2677152152,48.479148703,55.4929103399,61.859261286,87.6221359993,95.8590983589,94.4790591457,104.5066324107,109.3621617012
Madagascar,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023569865,0.009901573,0.0169775891,0.0293241163,0.0885886717,0.2400724354,0.410654016,0.9308100786,0.9976762302,1.6842292009,1.9235492193,2.8529013835,5.6758852697,11.6837002989,24.7373848387,31.2251647896,37.2298367578,38.2807756085
Malawi,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038650862,0.036740593,0.0678352089,0.0989412998,0.2060012278,0.4363795954,0.4833755835,0.7271719622,1.1125122427,1.7809562156,3.2845400074,4.6998676577,7.7328777627,10.7652398092,17.2108855313,20.9207252128,25.0685135995
Malaysia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0.0666885777,0.1042465922,0.1587319398,0.2226453457,0.475710273,0.6948982813,1.0444287198,1.7258893503,2.8295341761,4.8505150137,7.1554228901,9.1821045007,9.8555498931,13.0752120305,21.8738753159,30.8162603531,36.927924629,44.3891393615,57.0955113612,74.8843660103,73.2096287082,86.3068923301,100.7671876177,107.8520662075,119.2175618218,127.0351202949
Maldives,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078752559,0.498065652,0.6086399588,1.0893521966,2.7953856739,6.8015162478,14.84379982,23.1859487555,38.9177560587,68.9676195637,90.5263193051,103.2944695739,141.6065298799,146.8439944954,156.4971429476,165.7233637735
Mali,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011760914,0.0274024432,0.0419506951,0.0582238844,0.0920557923,0.2061633716,0.383056431,1.9969379902,3.1855041518,5.7828542355,11.1305135456,18.050992291,23.7798781327,29.91682726,48.4090791239,68.322257884
Malta,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6138024794,0.9320086384,1.3963021703,1.9566204209,2.7914304044,3.2110810554,4.5187854886,5.7268274581,9.4959009862,28.7967389663,59.89203144,68.8286214338,71.6406406332,75.1669396807,79.1556212512,84.3552655905,89.3172211881,93.160943698,101.6528587255,109.3787738737,124.8634095559
Marshall Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5537427074,0.517565872,0.7102687346,0.9014062712,0.6643558637,0.8506144393,0.8572250455,0.9380215227,1.0601928322,1.1501769503,1.2392241379,1.2683283049,1.9153418885,2.8578505154,3.7821482602,5.6183983819,7.0320885303,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578943923,4.0605918246,8.8288785655,12.1774335419,17.6217041105,24.4684631942,33.8701561266,44.0121805152,63.4849999423,64.6088825597,79.3398295206,92.7102616376
Mauritius,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2076357088,0.2329373399,0.2674162648,0.3651216153,0.50853802,1.0320130719,1.811728996,3.657556685,5.1513015882,8.6214931573,15.0498274705,22.5457861967,28.4644145675,37.484374924,43.9719540263,52.2643470179,60.9777181996,72.7959863599,80.4845429642,84.1390854353,91.6660765472,99.0438491558
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018516211,0.0102822841,0.0758256156,0.1872566179,0.3572156214,0.4333220592,0.627679618,0.7461715484,1.088768074,1.8239621414,3.4529981995,7.8482848424,14.0835706075,21.4720784836,25.2628050626,28.9672337168,36.5588604477,44.2590939011,51.370452961,60.9403068298,68.0696045721,74.2578525868,80.5504308132,82.3787374566
"Micronesia, Fed. Sts.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928263775,5.4179552273,11.7345720948,12.880761111,16.9561613641,24.9209751844,24.9168682668,24.8473020348,24.7767053231,
Moldova,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003226736,0.021357189,0.0515419235,0.1658260863,0.4319551803,3.3846831157,5.5690257225,8.5220715922,12.2148881188,20.5595435207,28.9311355086,36.5589840647,51.2817509819,66.667858761,77.2951880079,88.5853309021,104.798519774
Monaco,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5765379113,7.8559587401,9.1021990671,16.1266238614,21.1926767528,33.312042736,37.543053961,39.6486932756,40.5293584221,42.0870943097,42.6945616171,44.6403265121,48.754963131,51.9097172995,57.7985550361,62.2594521168,65.0139921418,66.1281667467,85.810257713
Mongolia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387035348,0.0852653757,0.3815969868,1.4467976802,6.4112958241,8.0098089352,8.7845837063,12.8361078507,17.0491739386,21.874081149,29.9867306105,45.5164375508,66.0991634783,82.9390052363,91.0910409684,105.0783289538
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1664922669,86.6740381562,102.6483317758,111.9494491705,184.0527031,205.2815912822,185.2760930498,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0002571712,0.0004406666,0.0028794042,0.0036479406,0.0059434302,0.0125273552,0.0257586132,0.052006515,0.1095898041,0.1571604745,0.2687680853,0.4153627196,1.2978787329,8.1338547706,16.3812886888,21.0453063124,24.7221762779,31.0379323926,40.7759019807,52.1291355987,64.5873124738,72.8436640535,80.0099315545,100.0966060592,113.2648729553
Mozambique,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014825898,0.0388828992,0.0690291245,0.2805668103,0.8166937833,1.3268683404,2.2096080378,3.4969374878,7.240934322,10.9873762338,14.1201089746,19.7242901728,26.1204936941,30.8847359204,32.8267482411
Myanmar,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015688298,0.0046206429,0.0065648943,0.0169880429,0.0195883987,0.0193754507,0.025595164,0.0297991488,0.0500199641,0.1052022469,0.1450952612,0.20067615,0.2778427709,0.4596346362,0.5278410744,0.7775355572,1.0546019113,1.2384543323,2.5728222637
Namibia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2119475436,0.3905995091,0.7135224491,1.0817833781,1.6207157729,4.325261797,5.5050637808,7.6010637435,11.1370971677,14.001347794,21.5801718406,28.7374100431,37.0669722425,47.8090111806,54.2800027475,67.2069107327,104.9602754556
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230846343,0.0419087952,0.0691988498,0.0855977996,0.3131443994,0.4370781733,0.8332103888,4.1572031567,11.5208065966,14.5301781075,19.0192263086,30.6934486326,43.8055680878
Netherlands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,0.0332112336,0.105288033,0.1655903069,0.2244607687,0.3785221656,0.5304961771,0.7669381116,1.0991405582,1.4198745094,2.0952849431,3.49496974,6.5476059285,11.0023076651,21.3565929638,42.7590017249,67.8000293138,76.4725063162,75.4085068898,81.7959971889,91.2167457181,97.1085937671,105.6053443533,117.280505596,124.9874040061,121.678083838,115.4458186571,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4324896727,1.0557822014,2.6062584297,6.4013195358,12.2421688602,23.5642676857,31.4555795363,36.4064967393,43.451784372,51.238240238,58.1032542842,65.9641835762,73.8094640181,80.8831218018,84.8906439854,88.0180970224,89.2055443928
New Zealand,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0724873615,0.3000481877,0.8599068861,1.5921209729,2.0980816917,2.8603033006,4.0341913144,6.6014962103,9.9318106371,13.256784014,15.0900914707,20.8803030023,36.5435128454,39.9685642836,58.5641044018,61.8125592823,64.6393761989,74.2070000221,85.3870366997,90.8573030247,100.442910165,107.999211746,108.7301521204,107.8263131001,109.1854156374
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073134693,0.0481282031,0.0948881183,0.1077503336,0.1566904652,0.3727692377,0.8855133311,1.7796465856,3.1951963967,4.545221165,8.8253041495,13.7905590951,20.6362400854,33.315937102,44.9754963195,55.1496679045,58.5714235679,68.4543092515,82.1522459057
Niger,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009963455,0.0132439122,0.0207807593,0.0188236656,0.0188006262,0.4915436989,0.6796733079,1.3742070281,2.4923494776,3.5883733139,6.4536197708,13.1323673407,17.3587722947,24.5332873301,27.0077081366
Nigeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086237163,0.0119122262,0.011816604,0.0124313715,0.0130130712,0.0169515418,0.0206980358,0.0242544709,0.2103007653,1.2085191616,2.3668307726,6.7061925871,13.2932026942,22.5494915935,27.4890813108,41.8067811439,48.2356100606,55.1041759785,58.5750454249
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.4033473285,1.3946619996,2.0863396909,,,,4.3309727917,4.3839139584,19.0795559667,24.6955744816,26.9430576659,29.9309981872,,,,,,,
